Title,Author,Year,Source
La famille vertueuse,Nicolas Edme Restif de La Bretonne,1767,Wikidata
Lettres d’Adélaïde de Dammartin,Marie-Jeanne Riccoboni,1767,Wikidata
Le temps et la patience,Gabrielle-Suzanne de Villeneuve,1768,Wikidata
Lucile,Nicolas Edme Restif de La Bretonne,1768,Wikidata
"Les Ondins, conte moral",Marie-Anne Robert,1768,Wikidata
Iphis et Aglaè,Charlotte-Marie-Anne Charbonnier de La Guesnerie,1768,Wikidata
Lettres de lord Austin de N**,Nicolas Edme Restif de La Bretonne,1769,Wikidata
La fille naturelle,Nicolas Edme Restif de La Bretonne,1769,Wikidata
Mémoires de Lucie d’Olbery,Madame Beccari,1770,Wikidata
Pygmalion,Jean-Jacques Rousseau,1771,Wikidata
Le Marquis de T***,Nicolas Edme Restif de La Bretonne,1771,Wikidata
Lettres athéniennes,Claude-Prosper Jolyot de Crébillon,1771,Wikidata
Adèle de Comm **,Nicolas Edme Restif de La Bretonne,1772,Wikidata
Le Diable amoureux,Jacques Cazotte,1772,Wikidata
Lettres d’Elisabeth Sophie de Vallière,Marie-Jeanne Riccoboni,1772,Wikidata
La femme dans les trois états,Nicolas Edme Restif de La Bretonne,1773,Wikidata
Le ménage parisien,Nicolas Edme Restif de La Bretonne,1773,Wikidata
La nouvelle Clémentine,Nicolas-Germain Léonard,1774,Wikidata
Félicia ou Mes Fredaines,André-Robert Andréa de Nerciat,1775,Wikidata
Zély,Marie-Louise Auget de Monthyon,1775,Wikidata
Colette,Charles Compan,1775,Wikidata
Entretien d’un philosophe avec la maréchale de ***,Denis Diderot,1776,Wikidata
Le paysan perverti,Nicolas Edme Restif de La Bretonne,1776,Wikidata
Florello,Joseph Marie Loaisel de Tréogate,1776,Wikidata
Valmore,Joseph Marie Loaisel de Tréogate,1776,Wikidata
Lettres de madame la comtesse de La Rivière à madame la baronne de Neufpont son amie,Mademoiselle Poulain de Nogent,1776,Wikidata
Point de lendemain,Vivant Denon,1777,Wikidata
Le quadragénaire,Nicolas Edme Restif de La Bretonne,1777,Wikidata
Le libertin devenu vertueux,Louis Domairon,1777,Wikidata
Lettres de Fanni Butler à Milord Charles Alfred de Caitombridge,Marie-Jeanne Riccoboni,1777,Wikidata
"Les Incas, ou La Destruction de l'Empire du Pérou",Jean-François Marmontel,1778,Wikidata
Le nouvel Abeilard,Nicolas Edme Restif de La Bretonne,1778,Wikidata
Milord d’Ambi,Madame Beccari,1778,Wikidata
Point de lendemain,Vivant Denon,1779,Wikidata
La Vie de mon père,Nicolas Edme Restif de La Bretonne,1779,Wikidata
Sophie ou mémoires intéressans,André-Guillaume Contant d'Orville,1779,Wikidata
La comtesse d’Alibre,Joseph Marie Loaisel de Tréogate,1779,Wikidata
La Malédiction paternelle,Nicolas Edme Restif de La Bretonne,1780,Wikidata
Histoire du petit Jehan de Saintré,Louis-Élisabeth de La Vergne de Tressan,1780,Wikidata
Le prince Gérard,Louis-Élisabeth de La Vergne de Tressan,1780,Wikidata
La Découverte australe,Nicolas Edme Restif de La Bretonne,1781,Wikidata
Lettres du chevalier de Saint-Alme,Anne-Hyacinthe Geille de Saint-Léger,1781,Wikidata
Mémoires de Fanny Spingler,Madame Beccari,1781,Wikidata
Les Liaisons dangereuses,Pierre Choderlos de Laclos,1782,Wikidata
Les Rêveries du promeneur solitaire,Jean-Jacques Rousseau,1782,Wikidata
